context,sense
"However, it is at the level of the individual career that we can most clearly see the micro-level behaviour that fills the relatively structure-less context.",level%1:07:00::
At a very basic level agency is about control and communion is about co-operation.,level%1:26:01::
When ‘the career’ devolves to the level of the individual does free agency prevail and a form of ‘career anarchy’ result?,level%1:26:01::
"Most poignantly, it talks about Hurricane Katrina, which focused attention on rebuilding another city with this level of devastation, and how without a single catastrophic event to blame for it, Detroit's decay has gone unsympathetically ignored.",level%1:07:00::
"It's beyond frustrating to me, as someone who has studied Constitutional Law, who competed on the the national level on it in law school, and who published an article on it, to hear people who clearly haven't done the first of these talk about it as if they know better than I do what the Constitution says, means, and is all about.",level%1:26:01::
"Thus, well-designed national cap and trade programs can help use government resources and taxpayer dollars more efficiently at both the state and federal level.",level%1:07:00::
"In the Smith/Voinovich/Brownback analysis, when we analyzed SO2 and NOx reduction levels similar to S. 556, mercury reduction levels more modest than S. 556 and no CO2 reductions, we did not find significant impacts on coal production or electricity prices.",level%1:07:00::
"In the Smith/Voinovich/Brownback analysis, when we analyzed SO2 and NOx reduction levels similar to S. 556, mercury reduction levels more modest than S. 556 and no CO2 reductions, we did not find significant impacts on coal production or electricity prices.",level%1:26:01::
"However, in the analysis responding to the Jeffords/Lieberman request that had NOx, SO2, mercury and CO2 reduction levels similar to S. 556, we found significant ramifications: approximately a 20-30% decline of coal generation and a 30-50% increase in electricity prices compared to the reference case (depending on assumptions of energy technology penetration).",level%1:26:01::
"In addition, requiring the same level of reduction at a",level%1:07:00::
"When you have a hard cap, as you would under S. 556, requiring emission reductions at a specific source does not reduce the overall level of pollution, it just limits industry's flexibility about where to make the reductions.",level%1:07:00::
"For example, depending on the ultimate cap levels chosen by Congress, this type of legislation would obviate the need for Best Available Retrofit Technology requirements, mercury MACT, and new source review case-by-case technology requirements for power generators.",level%1:26:01::
"Governor Whitman and I both believe consensus on the appropriate levels and timing for reductions of NOx, SO2 and mercury is achievable relatively soon.",level%1:07:00::
The current body of scientific knowledge does not provide information regarding atmospheric concentrations of CO2 or reduction levels necessary to prevent dangerous interference with the climate system.,level%1:07:00::
"Greenhouse gas emissions should be addressed in the context of climate change, which is being undertaken by the President's Cabinet level working group.",level%1:26:01::
Compliance with the program has been nearly 100 percent and annual emissions of SO2 from power plants have already been reduced over 6 million tons (about 35 percent) from 1980 levels.,level%1:07:00::
"Acid rain levels were dramatically reduced over large areas of the U.S. and trading did not result in geographic shifting of emissions, or &quot;hot spots&quot;, as some feared.",level%1:07:00::
" largest U.S. commercial banks held 55% of the industry’s assets, more than double the level held in 1990. On the eve of",level%1:07:00::
"It was the brain, mostly; the amount of information the machine had to process to be able to function at the level it did ate up a lot of resources.",level%1:26:01::
"Sure, Shaquille O'Neal once said,  &quot;I've won at every level but college and pro,&quot; but Shaq was always a larger than life (literally) character who was outgoing and had a great relationship with fans.",level%1:07:00::
"We also work hard and lobby for better animal welfare laws at the local, state and federal government levels and we insist they enforce existing laws to prevent animal cruelty.",level%1:07:00::
"More theoretically said this time, this local-code to exchange-code translation works much a la OSI layer (or &quot;a` la&quot;, if you don't mind :-) Data is encoded towards a lower layer, exchanged, and decoded back to same level, but possibly to a different local code.",level%1:26:01::
"It probably belongs between level 6 and 7, as it could prove that the application layer provides all the textual data.",level%1:26:01::
"But that's not sure, like for XDR which can be used from many levels to convert CPU data to line format.",level%1:26:01::
"Should we merge &quot;presentation&quot; and &quot;representation&quot; layers, split level 6 like level 2 or not assign it to any level, I'll leave the discussion to the theoricians.",level%1:26:01::
"Should we merge &quot;presentation&quot; and &quot;representation&quot; layers, split level 6 like level 2 or not assign it to any level, I'll leave the discussion to the theoricians.",level%1:26:01::
"Should we merge &quot;presentation&quot; and &quot;representation&quot; layers, split level 6 like level 2 or not assign it to any level, I'll leave the discussion to the theoricians.",level%1:26:01::
Note that the &quot;level 6 or so&quot; concept applied to text extends slightly beyond the representation of characters (and binary data) towards file structure.,level%1:26:01::
Counters of levels below top-level start at the value 0 (zero) at the start tag of the next higher (parent) level.,level%1:26:01::
Counters of levels below top-level start at the value 0 (zero) at the start tag of the next higher (parent) level.,level%1:26:01::
"Example: a numbered list with items 1, 2, 3, is followed by a paragraph of text (the || is on the same level as the |&lt;l&gt;|), and then the list continues 4, 5, 6.",level%1:26:01::
"And now, growing numbers of dolphins with malignant tumors and high levels of toxic chemicals in their tissues are washing onto U.S. beaches.",level%1:07:00::
"She is in the most active of the four levels available, but should the need arise, she can move on to assisted living facilities within the same complex.",level%1:26:01::
"The conservation groups providing information to chefs and retailers and lists of environmentally appropriate seafoods to consumers are the same groups working to affect fisheries management on the political and regulatory level, Moore said.",level%1:26:01::
"The higher levels of the union became increasingly disassociated with Youngstown and its plight, attempting to shut out the appeals from workers and local union representatives and to ignore what was really happening.",level%1:26:01::
"With many more cultures, religions, and economic levels living in close proximity to one another, a curious phenomenon has overtaken the area: regionalism.",level%1:07:00::
"What happened in Youngstown may not seem significant on an international or even on a national level, and perhaps it is not.",level%1:26:01::
"Although it affected Youngstown and the surrounding area more than it affected other regions, the local people simply could not solve a national crisis on a local level.",level%1:26:01::
"The Global Burden of Disease Database, maintained by the World Health Organization (WHO), collects data from countries around the world on risk factors such as tobacco, malnutrition, childhood abuse, unsafe sex, childbirth, and cholesterol levels, as well as on disease burdens, for example depression, blindness, and diarrhea.",level%1:07:00::
"Rodgers and colleagues used data from the WHO database for 26 risk factors and from 14 epidemiological subregions of the world to calculate the proportion of risk-factor-attributable disease burden in different population subgroups defined by age, sex, and exposure level.",level%1:07:00::
"The analysis confirms—and extends to a global level—previous research showing that many major health risks are important across the range of exposure levels, not just among individuals exposed to high levels of risk.",level%1:07:00::
"The analysis confirms—and extends to a global level—previous research showing that many major health risks are important across the range of exposure levels, not just among individuals exposed to high levels of risk.",level%1:26:01::
Rate(s) and justification: Three levels of presort discounts based on processing costs bypassed because of worksharing by mailers.,level%1:07:00::
"The last channel (5) was really hard to check because even at full volume, the sound level was very low, so may have missed some backchannels or not heard things correctly.",level%1:07:00::
"It is important to mention that our experiments were conducted at similar passage levels (passage 6 to 8) in both groups, since senescence of fibroblasts is associated with a shift from the biosynthesis of PGI 2 to TXA 2 [ 24 25 ] .",level%1:07:00::
"But really, Nathan, your queer habits of conversation have reached a new level.&quot;",level%1:07:00::
SSL connection: PayPal automatically encrypts your confidential information in transit from your computer to ours using the Secure Sockets Layer protocol (SSL) with an encryption key length of 128-bits (the highest level commercially available),level%1:07:00::
"The results I achieved were magnficent, my appetite came to acceptable level, I was in a good mood oftener, and, certainly, I became able to tighten my belt on some holes.",level%1:07:00::
"If you broaden your scope a bit, I think it would be difficult to find a time over the last 40 years or so when any of these four archetypes didn't have a level of bubbling popularity via books, comic books, tv, movies, video games, music.",level%1:26:01::
"On the outlying islands, Cheung Chau and Cheung Sha are on Lantau, and Hung Shing Ye and Lo So Shing on Lamma; inquire about water pollution levels.",level%1:07:00::
All levels of society share a feverish interest in the Sport of Kings.,level%1:26:01::
"Mr. Stronach will direct an effort to reduce overhead and curb capital spending &quot;until a more satisfactory level of profit is achieved and maintained,&quot; Magna said.",level%1:07:00::
"I want to ask you, therefore, to renew your valued World Wildlife Fund membership and, hopefully, at the Living Planet Society level of $750.",level%1:07:00::
The engine and transmission system have been upgraded to provide high performance levels in high temperature and extreme climates.,level%1:26:01::
"The explicate order is a projection from higher dimensional levels of reality, and the apparent stability and solidity of the objects and entities composing it are generated and sustained by a ceaseless process of enfoldment and unfoldment, for subatomic particles are constantly dissolving into the implicate order and then recrystallizing.",level%1:26:01::
"AOL, born under some kind of lucky star, was able to attract the right person at the right time to cause it to be able to get to the next level.",level%1:26:01::
But the level of Delta Force participation remains unknown.,level%1:07:00::
What is less clear is whether this was orchestrated from the highest levels of the Indonesian government or rather was the more spontaneous expression of officers' personal sentiments.,level%1:26:01::
"I think we are reaching new levels of cynicism in New York City politics, which can only further alienate people from civic engagement.",level%1:07:00::
And he has missed an opportunity that cannot be recovered: Morris had a level of continuous access to Reagan that no other writer will ever have.,level%1:07:00::
"But this general level of gravity is apparent in the WSJ 's quote from an arms control advocate describing the &quot;nuclear domino effect&quot; that could have just been unleashed: &quot;If we don't ratify, Pakistan and India won't either.",level%1:07:00::
"We are all multidialectal, all of the time, mastering levels of formality, adjusting content to context in speech as well as writing.",level%1:26:01::
"3. &quot;After the Nasdaq toyed with the 3,000 level on Tuesday before closing just below it, technical traders came out of the woodwork to say that breaking through 3,000 was going to be tough, because it was a 'resistance level' for the index.",level%1:26:01::
But it's just as easy to imagine that more seizures equals better law enforcement vs. the same level of production.,level%1:07:00::
This level of sustained excellence is not matched in sports or in any other aspect of society.,level%1:07:00::
"With free-agency, expansion, and three levels of playoffs, it is much harder to win today than in past years.",level%1:26:01::
"The article revealed that the director of the Brooklyn Museum, Arnold Lehman, granted the owner of &quot;Sensation&quot; 's artworks, Charles Saatchi, an astonishing level of control over the show's budget and layout; that Saatchi is now claiming that money seemingly donated was actually a loan; and that Lehman probably lied to the press as well as to potential donors about exactly how much money Saatchi had contributed and whether Lehman had personally laid eyes on the &quot;Sensation&quot; show when it was in London.",level%1:07:00::
"&quot;Kyle's Mom Is a Bitch&quot; is an infantile playground chant raised to the level of comic art by a) Cartman's speed-freak/squalling-baby vocal, b) the sophisticated Broadway-style orchestration, and c) the happy notion that people in other cultures (the Netherlands, Holland, China, Africa) would come out in full national regalia to sing about Kyle's mom being a bitch.",level%1:07:00::
"USA Today leads with the Clinton administration's proposal for establishing a nationwide computer system for rapidly tracking the course of infectious diseases like the flu and hepatitis C. The New York Times lead also connects medicine and cyberspace with a report that the rise of Americans' online pharmaceutical purchases via foreign-based Web sites has led to record levels of illegal drug imports, judging from the latest figures on Customs Service seizures of imported drugs in 1999, which ran about 4.5 times higher than 1998.",level%1:26:01::
"But what's interesting is that it isn't just stocks trading at stratospheric levels that are punished, nor is it just stocks that fall well short of expectations.",level%1:07:00::
"And in rare cases, allergic attacks can turn into anaphylaxis , where toxic levels of histamines and other chemicals are released, causing asphyxiation, vomiting, and death.",level%1:07:00::
"A piece argues that rising carbon-dioxide levels are almost certainly causing the weird weather of the 1990s, and that they will cause unimaginable devastation if the world does not slash fossil-fuel consumption soon.",level%1:07:00::
"If its marine ice sheet floats free, worldwide ocean levels could rise 20 feet.",level%1:07:00::
"&quot;[W]e have a book worthy of its subject--graceful, astonishingly well researched, yet imbued with a sense of flow that is rarely achieved at this level of scholarship,&quot; says Daphne Merkin in the New York Times Book Review . (See Sarah Kerr's review in Slate.)",level%1:26:01::
The newspaper blamed the publication of the survey for a fall by the yen against the dollar to its lowest level since May 1992.,level%1:07:00::
Rehnquist has pushed to minimize federal jurisprudence at every level.,level%1:07:00::
Massachusetts put in a tough program in November 1995 and has seen its welfare rolls drop to the lowest level in 23 years.,level%1:07:00::
"Imagine that a mad scientist went back to 1950 and offered to transport the median family to the wondrous world of the 1990s, and to place them at, say, the 25 th percentile level.",level%1:07:00::
"For some dogmatic Democrats, it seemed, any explanation would do except the obvious one--that the party wasn't speaking for a majority of voters at the national level.",level%1:26:01::
"To increase wages significantly without inflation would require a return to pre-1973 levels of real growth, which hasn't happened.",level%1:07:00::
"According to his numbers, government at all levels currently consumes about 38 percent of personal income.",level%1:26:01::
But even private savings in the 1980s ran well below their 1970s level.,level%1:07:00::
(That election was a high-water mark for student donations in a nonpresidential year--twice the level of the 1989-90 campaigns.),level%1:07:00::
"Whatever our level of acknowledgment--tabloid exploitation or elite refinement--we categorize such images intellectually and emotionally, transforming appalling scenes into objects of sentiment, pieces of evidence, and even works of art.",level%1:07:00::
"Fenfluramine increases the brain's serotonin levels (Prozac does, too, but not as dramatically) to produce a sense of satiety.",level%1:26:01::
"Not surprisingly, when the obese patients stopped taking these drugs, their weights returned to baseline levels.",level%1:07:00::
The ABI claims that there's no evidence that a 0.08 level is any more dangerous than a 0.02 level.,level%1:26:01::
"With airlines flying at 77 percent capacity in August and the Dow Jones Transportation Index at record levels, it seemed like a good time for a 5 percent fare increase, which, says USAT , most of the major domestic airlines put into place last week.",level%1:07:00::
"The lower level of the Guggenheim SoHo displays the tinkering side of Rauschenberg's nature, the works he made in collaboration with engineers--the star item there is unquestionably Mud Muse (1968-71), a vat of bentonite (an artificial clay) that bubbles and gurgles and spits, like a pool of quicksand in a Tarzan movie, triggered by a sound-activated compressed-air system.",level%1:07:00::
"Nonetheless, his writings are too influential to be ignored, even if the provocative issues he raises are more usefully (and honestly) argued on the level of the policies they point to than on the level of what the Constitution dictates.",level%1:07:00::
Employees at every level of Amerco fit Hochschild's profile of distracted parenthood.,level%1:26:01::
"One senses it above all in her amazing control over words, which, while extremely satisfying on the level of literary technique, also comes across as a refusal to be vulnerable and a reply to anyone who would try to keep her down.",level%1:07:00::
The obsessive travels he's recorded in prose are balanced by a level of stability almost unheard of for a contemporary writer.,level%1:07:00::
You expect him to sink beneath the level of audibility.,level%1:07:00::
"In the case of Korea the belief is that there is danger of a panic, a flight from the Korean currency in which the Korean economy would be forced down to a level far below its true potential.",level%1:26:01::
I believe the current level of taxation is illegitimate because it is done without the consent of the governed.,level%1:07:00::
"Restraint systems aren't perfect, but they do offer another level of protection.",level%1:07:00::
The justification of democracy is that it provides the greatest level of freedom to its citizens.,level%1:07:00::
"4) Finally, Tonelson denies that productivity increases lead to higher wages, insisting that the dramatic convergence in hourly compensation between the United States and the Asian tigers has been achieved through a fall in the U.S. level.",level%1:26:01::
"Since Restoration comedy, the normative couple--he the rake and she the one who will never, ever agree to marry anyone--find themselves in society (read: office structure) at the highest levels and must prove themselves to one another by being bright, competent, and able to handle lesser people in their circle.",level%1:26:01::
I read with interest Lawrence Korb's July 10 statement in &quot;The 21st Century Military&quot; that &quot;Reserve ground combat units at the brigade level and above cannot be maintained at any reasonable level of readiness on a part-time basis because of the complexity of combined arms.&quot;,level%1:26:01::
"A piece argues that despite David Duke's pariah status on the national level, he has won favor among Louisiana Republicans with a slick combination of race-baiting and shady quid pro quos.",level%1:26:01::
"Yesterday's debate focused mainly on whether or not the proposed new members--Poland, Hungary, and the Czech Republic--can afford to field the level of armed forces NATO requires.",level%1:07:00::
"The thriller side of the book is well crafted, and the dialogue, pacing, and plotting keep reviewers engaged: &quot;Bedford is the genuine article, a writer of unmistakable flair and accomplishment&quot; (Carey Harrison, the New York Times Book Review ), but many reviewers say he does not show the same skill level in revealing his characters' emotional lives.",level%1:26:01::
"Understanding our areas of strength and weakness, he says, can provide more self-awareness and help users move to a &quot;higher level of skill.&quot;",level%1:07:00::
"At that level of society, Tuscany is not so different from Sicily.",level%1:26:01::
"Now Republicans are turning the tables, arguing that the stakes in Kosovo don't &quot;rise to the level&quot; worthy of U.S. military action.",level%1:07:00::
"The level of traumatic amnesia is quite remarkable,&quot; says Ross Baker, a Rutgers University political scientist who studies impeachment.",level%1:07:00::
The hospitals that we go to and our doctors practice in essentially all receive some level of governmental funding.,level%1:07:00::
"Mubarak also said he hopes to arrange an Arab summit meeting--the first since 1996--in the autumn, with the inclusion of Iraq &quot;at a level of participation still to be determined.&quot;",level%1:07:00::
"As his Pawtucket buddies die in car crashes or face the prospect of lives scrambling for a dwindling number of factory jobs, Dunph has a vague inkling that his level of consumption is not a design for living.",level%1:07:00::
"The New York Times leads with a groundbreaking collaboration between the U.S. and Mexico in the investigation of the drug trade: a jailed former head of the Mexican national police was recently brought secretly to the U.S. (Houston), where he testified about drug payoffs at high levels of the Mexican government.",level%1:26:01::
"The NYT fronts the revised GDP numbers, pointing out that inflation dipped to 1.0 percent last year, the lowest level since the launch of Sputnik.",level%1:07:00::
"Of course, they should be able to choose how many citations, what language level they come from etc.",level%1:26:01::
"The pilot had misconstrued the phrase level at 6,000 imperatively, as an instruction for himself, meaning [Descend to and remain] level at 6,000, rather than understanding it declaratively, as it had been intended, as an assertion about his traffic, meaning [The traffic is] level at 6,000.",level%1:07:00::
"This directive, according to the state's Director of School Education, was meant to improve the abysmal standards of English, both written and spoken, at the school level.",level%1:26:01::
"In the second half of the book, Mills employs the strategies of feminist stylistics to expose the workings of gender at three levels of language--the word, the phrase or sentence, and larger-scale discourse.",level%1:26:01::
"This year's challenge is to keep pace with our growing membership through increased levels of support from every facet of the organization-board and committee members, staff, volunteers, alumni, and other friends.",level%1:07:00::
All alumni are being asked to increase their annual level of support.,level%1:07:00::
One of the selling points in this fall's development campaign is the level of support given by the school's alumni leaders and friends on the Alumni Association Board and the Board of Visitors.,level%1:07:00::
"A contribution at your current level of $10,000.",level%1:07:00::
You can train Sunday Church School teachers to provide the highest level of instruction in religious education.,level%1:26:01::
"Our panel discussions and candidate briefings allow give-and-take between top level Administration officials, GOP Senators, senator candidates, and Inner Circle members.",level%1:26:01::
"The occurrence of this problem at three very different sites is strong evidence that compatible and adequate communications among public safety organizations at the local, state, and federal levels remains an important problem.",level%1:26:01::
Each field office should have an official at the field office's deputy level for national security matters.,level%1:26:01::
"As a result, his salary was raised and his &quot;other allowances&quot; stipend increased significantly, from approximately $465 to $3,925 a month, remaining at that level until December 2000.",level%1:07:00::
"Each Level 4 mobilization fields about 1,000 officers.",level%1:26:01::
"The head of the NCTC should have the rank of a deputy national intelligence director, e.g., Executive Level II, but would have a different title.",level%1:07:00::
"The intelligence reporting consistently described the upcoming attacks as occurring on a calamitous level, indicating that they would cause the world to be in turmoil and that they would consist of possible multiple-but not necessarily simultaneous-attacks.",level%1:07:00::
"The Drumbeat Begins In the spring of 2001, the level of reporting on terrorist threats and planned attacks increased dramatically to its highest level since the millennium alert.",level%1:26:01::
"The Drumbeat Begins In the spring of 2001, the level of reporting on terrorist threats and planned attacks increased dramatically to its highest level since the millennium alert.",level%1:07:00::
"There is no evidence that the lead, or the search for these terrorist suspects, was substantively discussed at any level above deputy chief of a section within the Counterterrorism Division at FBI headquarters.",level%1:26:01::
"The differences in eligibility risk factors between those participants with HF and those without is not surprising: larger percentages of those with HF had a history of MI, stroke, CABG, angioplasty, other atherosclerotic cardiovascular disease (ASCVD), diabetes, low HDL levels and ECG abnormalities.",level%1:26:01::
"Secondary endpoints included stroke, worsening heart failure, need for coronary revascularization and change in lipid levels throughout the study.",level%1:07:00::
Atorvastatin also significantly reduced total and LDL cholesterol and triglyceride levels but did not significantly change high density lipoprotein (HDL) cholesterol by 16 weeks.,level%1:26:01::
"Similarly, GPI-linked proteins such as CD 109, TM4SF proteins such as CD81, and other transmembrane proteins such as CD147/EMMPRIN can be found at substantial levels in light membrane fractions [ 44 45 ] , and our unpublished results), and these also did not co-immunoprecipitate with CD98 (Fig.",level%1:07:00::
The α chain might provide a level of specificity by changing the conformation of the β chain and/or by providing an additional site of interaction with the CD98 light or heavy chains.,level%1:07:00::
"GCA and GCDCA were equally potent in increasing LDH activity, raising the level in the medium of treated cells by 40% within 6 h.",level%1:26:01::
"In contrast, TCA-mediated activation of caspase 8 was first detected at 60 min and reached the levels induced by GCDCA by 120 min.",level%1:07:00::
"In contrast, COX-2 protein levels were higher in clones expressing lower amounts of IDO mRNA and lower in vector only controls, whereas COX-1 protein levels were unchanged by LPS treatment.",level%1:07:00::
"MC57 cells, which demonstrated similar changes in cell adhesion to RAW cells following IDO expression, exhibited lower levels of COX-2 synthesis upon IDO expression and lower levels of PG E 2 relative to other PGs such as D 2 . Furthermore, adding back PGE 2 to IDO-expressing MC57 cells did not reproduce the wild type phenotype (not shown).",level%1:07:00::
"Treatment of IDO-expressing RAW clones with a known inducer of COX-2 (LPS), revealed a lack of correlation between COX-2 RNA and protein levels.",level%1:07:00::
"Although not well understood, evidence for regulation of COX expression at the post-transcriptional level is increasing [ 44, 45].",level%1:26:01::
Log phase cells do not express IDO at levels detectable by standard RT-PCR methods.,level%1:07:00::
"It has previously been shown that IL-8 mRNA induction was seen less then 1 h after Tat (72aa) stimulation, and levels remained elevated for up to 24 h, leading to IL-8 protein production [ 102 ] . Along these lines, we have previously shown that the IL-8 gene is expressed in a cell cycle-dependent manner in cells that express the Tat protein, and the induction is during the S phase of the cell cycle and regulated by stable NF-kB binding to the IL-8 promoter [ 103 ] . When looking for IL-8 at the G1/S border, we found that all Tat containing cells, including PBMCs that were treated with exogenous Tat showed an up-regulation of IL-8 in the supernatant (Figure 4), further implying that results obtained from the H9/Tat system may infact be of general physiological relevance in vivo.",level%1:07:00::
"For example, Pop1p is involved in the control of the RNA levels of the cyclin Cig2p [ 33 ] . While it is unclear whether this effect is mediated at the level of transcription or mRNA stability, the budding yeast F-box protein Met30p was recently shown to regulate the ubiquitylation and activity, but not degradation, of the transcription factor Met4p [ 34 ] . In addition, pop1 mutants display an increased rate of chromosome loss, a phenotype that is not easily explained by accumulation of Rum1p and Cdc18p [ 23 ] . Finally, pop1 mutants are sensitive to UV irradiation, whereas pop2 mutants are not (D.",level%1:07:00::
(1) The over-expression levels of mutants were analyzed with SDS-PAGE to ensure that the mutations did not result in changes in the over-expression levels of the enzymes.,level%1:07:00::
"The obvious answer is that mutations provide escape not from direct B-cell immunity but from other levels of immunity, such as T-cell immunity [including major histocompatibility complex (MHC) presentation] or indirect Ab immunity via Ab-dependent cellular cytotoxicity (where gp120 molecules found on infected cell surfaces are monomers).",level%1:26:01::
This minimum number differs depending on the consensus codon and the level of significance.,level%1:07:00::
We have calculated the minimum number of mutations needed to achieve the 5% significance level.,level%1:26:01::
"The present model takes this into account by raising the criteria appropriately at the low expression range, i.e. a higher fold change at low expression levels is required for a gene to be considered differentially expressed.",level%1:07:00::
The conclusion that highly expressed genes will rarely have a 2-fold change in mRNA levels and that lowly expressed genes will commonly have a greater than 2-fold change led to the development of a model that would accommodate for this real biological characteristic of gene expression measurements.,level%1:07:00::
This confidence level could be raised or lowered according to the level of confidence desired by altering the p value.,level%1:07:00::
"The inverse also holds true, where highly expressed genes, having less error in their measured levels, may not meet an arbitrary fold-change cut-off of 2.0 even when they are truly differentially expressed [ 12 ] . Therefore, selecting differentially regulated genes based only on a single fold change across the entire range of experimental data preferentially selects lowly expressed genes [ 8 ] . This commonly used approach does not accommodate for background noise, variability, non-specific binding, or low copy numbers- characteristics typical of microarray data which may not be homogeneously distributed.",level%1:07:00::
The method developed herein includes: (A) determination of the upper X% of highest fold changes within narrow bins of absolute expression levels in order to generate a limit fold change (LFC) function; and (B) subsequent ranking of genes by a combined fold change/absolute expression calculation.,level%1:07:00::
(A) Selection of the upper X% of highest fold changes within binned absolute expression levels,level%1:26:01::
The advantage of the ratio method was that it usually reduced the within-group variance so that the same mean difference between young and old was associated with a higher level of statistical significance.,level%1:07:00::
"When relative expression levels were computed by the ratio method, all means were close to 1 regardless of the absolute signal intensity.",level%1:07:00::
