context,sense
Take the time to stop by and visit Indianapolis' Center for Contemporary Art.,time%1:28:05::
"Had I known such strange events would occur, I assure you I would have spent much more time studying physics in Minshall Lab and less time playing bridge in the Hub.",time%1:28:05::
"Had I known such strange events would occur, I assure you I would have spent much more time studying physics in Minshall Lab and less time playing bridge in the Hub.",time%1:28:05::
"Whether you attended classes full time, were an adult returning student, or worked full time in a career while taking classes, I believe you know first hand how important it was that Liberal Arts was open and available to you--and you also know how important it still is.",time%1:28:05::
Perhaps you were one of the many students who were able to spend some time on a research project with Dr. Phillips or one of the other members of the Department of Dental Materials.,time%1:28:05::
"We appreciate your taking time to read about Futures for Children, I hope you are inspired to become a Sponsor and/or a Member.",time%1:28:05::
"For the same time period, our alumni participation in similar firms was 31% to 67%.",time%1:28:05::
"For the second year, the campaign was managed by the law school and current law students volunteered their time to call alumni.",time%1:28:05::
"It would be wonderful if you could take the time to visit your School, and see for yourself the progress we have made over the years and share in the pride of our heritage!",time%1:28:05::
"I hope you will spend some time at the IMA this holiday season, and thank you for your support of the Annual Operating Campaign.",time%1:28:05::
I have a place where dreams are born And time is never planned; It's not on any chart You must find it with your heart Never never land.,time%1:28:05::
"The time saved in production can be lost if the distribution method is slow, or if there are other impediments to the movement of products from the apparel-maker to the retailer.",time%1:28:05::
"Successful performance includes providing high levels of order completeness, short lead times for new products, and rapid response to requests for replenishment.",time%1:28:05::
"This supplier must draw on production lines and sourcing arrangements that provide it with a range of response times, from short-cycle production capacity for products with high demand variability to lines or sourcing arrangements that create larger production runs at lower costs for items with low demand variability.",time%1:28:05::
"Instead of breaking up sewing into a long series of small steps, modular production entails grouping tasks and assigning them to a team to reduce the elapsed throughput time required for assembling a given product.",time%1:28:05::
An established channel in which the various parties focus on time to market results in markedly different supply decisions and dynamics than those dictated by conventional direct labor costs of supplies.,time%1:28:05::
"The capability to compete increasingly depends on an enterprise’s ability to manage operations according to the logistics of time and flow of product, reducing time to market and the costs of holding inventory.",time%1:28:05::
Our research suggests that the cycle time of a fast production line should be no more than a week or two to be an effective alternative for the lower costs of a long-cycle line or plant.,time%1:28:05::
"With the establishment of an independent operating unit, Federated Logistics, this retailer reduced the amount of time required to process merchandise in distribution centers by 60 percent, to an average of two days.",time%1:28:05::
"A retailer’s decision about what to stock will depend on a variety of considerations, including the demand forecast for the product, the level of product availability it wishes to provide to customers, the frequency with which it will place replenishment orders, and the lead time to acquire replenishment units.",time%1:28:05::
"Once again, if lead times are uncertain, retailers must hold additional safety stock to meet demand in the event of an unusually long lead time.",time%1:28:05::
"It can be shown that high variability in lead time means higher costs for retailers than somewhat longer, but more reliable lead times; that is, it may be better to have a longer reliable lead time than an unpredictable one with a shorter average duration.",time%1:28:05::
"But given the increasingly short lead times dictated by retailers (often just a couple of days), most manufacturers cannot produce in this way.",time%1:28:05::
"Similarly, the impact of alternative methods for reducing plant cycle time depends not only on the direct costs of changes, but also on the reductions in inventory levels allowed by shorter lead times.",time%1:28:05::
"Caught between lean retailers’ need for immediate replenishment and the high risk of carrying inventory for products with uncertain demand, a manufacturer today must go beyond traditional direct costs and also include manufacturing lead times and inventory carrying costs in its sourcing equation.",time%1:28:05::
Here we will show how a decision tool can be used to make the transition from general intuition to specific decisions about (1) which products to make in each plant and (2) how to schedule the time and quantity of production for each product.,time%1:28:05::
"The cost to produce a unit and deliver it to the distribution center is known for each plant, as well as the time it takes.",time%1:28:05::
"However, at least one general rule emerges from the cases we have studied: The cycle time of a fast production facility can be no more than a week or two.",time%1:28:05::
The use of modern design tools and information technology can collapse the design time so that managerial decision-making becomes the longest step in the process—and even the time for that step can be shortened with information technology.,time%1:28:05::
"Computerized design systems collapse the time needed to explore new design ideas into hours of work, rather than the traditional work time of days or weeks.",time%1:28:05::
"Computerized design systems collapse the time needed to explore new design ideas into hours of work, rather than the traditional work time of days or weeks.",time%1:28:05::
"No matter how the measurements are taken, most people being measured in this way have a difficult time standing up straight and holding in their stomachs.",time%1:28:05::
"In many cases, it has shortened the cycle time from order to ready for sewing by half.",time%1:28:05::
"If a part must be reworked, it is done on the operator’s own time.",time%1:28:05::
Some of the forty operations require very little time; others are much longer.,time%1:28:05::
"A competing approach to reducing plant throughput time involves team-based sewing or modular production, which we will discuss at length in the next chapter.",time%1:28:05::
"Cruising slowly and smoothly, sitting low in the driver’s seat, glancing out at the street, nodding the head slightly when being recognized, all these make up an experience only a Chicano low rider who has invested lots of time and money in his car can appreciate.",time%1:28:05::
"Starting in the late 1940s and into the present, la migra made raids in the San Joaquin Valley of California, rounding up braceros who had overstayed their contract time allocation.",time%1:28:05::
"Mexicans who have spent time in the United States and have acquired the mannerisms, values, and the English language may be considered pochos because they’ve become agringados (anglicized).",time%1:28:05::
"This hypothesis asserts that the trajectory of states leading from the initial state in a long stringlike “walk” will, over time, spend as much time in any small 6N cube as in any other cube.",time%1:28:05::
"Since vastly many more small cubes correspond to the nearly uniform distribution of particles, moving in all possible directions but bunched around an average velocity, it follows from the ergodic hypothesis that the system will have spent most of its time in this “equilibrium” macrostate.",time%1:28:05::
"The second law, in its modern understanding, is simply the statement that an isolated thermodynamic system will tend to flow away from improbable macrostates = corresponding to very few of our tiny 6N-dimensional cubes = and flow into and spend most of its time in the equilibrium macrostate for no better reason than that that macrostate corresponds to vastly many small 6N cubes in the entire 6N-dimensional phase space.",time%1:28:05::
"Thus, cells carry out measurements and record them all the time.",time%1:28:05::
"But is infinitesimally small compared to the number of possible proteins of length , namely, . In short, the known universe has not had time since the big bang to create all possible proteins of length once.",time%1:28:05::
"Indeed the time required to create all possible proteins at least once is at least the ratio of possible proteins to the maximum number of reactions that can have occurred in the lifetime of the universe, or times the lifetime of the universe.",time%1:28:05::
"Buildings are extremely complicated artifacts, and the time necessary to cultivate and refine a particular manner of building cannot be underestimated.",time%1:28:05::
"In a relatively short time he produced an impressive body of work that includes institutional, commercial, and residential buildings.",time%1:28:05::
Bin Ladin and Atef wasted no time in assigning the Hamburg group to the most ambitious operation yet planned by al Qaeda.,time%1:28:05::
"Listed reasons (and number of patients) for missing exercise time data at 24 weeks were: 'exercise test not done due to death' (n = 30), 'exercise testing contraindicated' (n = 9), and 'exercise test not done for other reasons' (n = 10).",time%1:28:05::
Alignment of a small subunit (SSU) ribosomal RNA sequence to the SSU rRNA consensus structure would take about 23 GB of RAM and an hour of CPU time.,time%1:28:05::
"Once damage is sensed, the checkpoint delays the cell cycle to allow DNA repair enzymes sufficient time to execute their activities.",time%1:28:05::
This gives sufficient time for the fibroblasts to express and deposit collagen in the ECM.,time%1:28:05::
The fluctuation in the total absorption points at long times in fig.,time%1:28:05::
"It examines the control technology's hardware, reagents, availability of the needed construction equipment, time required to implement at plants with single and multiple installation requirements, and the availability of labor needed for installation.",time%1:28:05::
"One company emphasized that if a major milestone is delayed, an appropriate adjustment should be made to the end date of the program, thereby avoiding compressing the time allotted for the rest of product development and managing the risks that subsequent milestones will be missed.",time%1:28:05::
"In keeping with GAO's values of being fair and balanced in its work with all agencies, GAO has articulated its criteria for determining the amount of time available for agency comments on GAO's products.",time%1:28:05::
Contract management includes the steps required to ensure that the agency receives products and services within established costs and time frames.,time%1:28:05::
"The work by the Larimer County Bar Association has been going on for 18 years, and in that time several thousand clients have been served.",time%1:28:05::
"Instead, the state depends on 41 local not-for-profit organizations, funded at $54 million a year, and the $172 million in time donated by members of the Bar to serve these needy families.",time%1:28:05::
"To measure the workload elements needed to calculate the evaluated time, a National Mail Count for most rural routes is conducted periodically in accordance with the labor agreement between the United States Postal Service and the union of rural carriers.",time%1:28:05::
"Route time costs are essentially fixed, while access is partly variable, and",time%1:28:05::
"Now, is it your recollection that the first time the Pandas book was mentioned was during the July meeting that you attended?",time%1:11:00::
"So it would not revert back to an unprotected realm, if you will, at the time of trial.",time%1:11:00::
"I mean, if that's what it says in my deposition testimony, that's what I testified to at the time.",time%1:11:00::
"Not at this time, Your Honor.",time%1:11:00::
"The Court was advised that yesterday, on September the 27th, the reporters, both of them, showed up at the appointed times for their depositions as appropriately scheduled by the defendants, and I'm advised -- and I'll correct this if I'm wrong -- that both reporters cited the reporter's privilege that they consider to exist under the First Amendment so that they would not answer any questions at those depositions.",time%1:11:00::
"I believe that to the extent -- and I've said this now several times -- that the reporters' testimony is necessary in order to invoke the residual hearsay exception under Rule 807, that the defendants have to have an opportunity to examine the reporters on the same topics and subjects that I would allow the plaintiffs to question them on during their case-in-chief, nothing more and nothing less.",time%1:11:00::
But to go any further than that would mean that a reporter's veracity could be questioned each and every time something like this comes up.,time%1:11:00::
The individual who believes -- who was quoted and believes the statement was taken out of context or flatly that he didn't or she didn't say it and it's inaccurate will have the opportunity to say that during the defendants case-in-chief or at any other time during the trial.,time%1:11:00::
That is the first time that we've had that type of matter in this trial.,time%1:11:00::
And do you remember anything else that you learned at that time?,time%1:11:00::
Did there come a time when you learned that the school district board of directors had approved a biology text?,time%1:11:00::
"Now, did there come a time when you learned that the board had made a change to the biology curriculum?",time%1:11:00::
And did you learn anything else from reading the newspapers at that time?,time%1:11:00::
And that policy was implemented for the first time in January of 2005.,time%1:11:00::
One at a time.,time%1:11:00::
So this was the first time that you saw the statement that was going to be read to the students in the ninth-grade biology class.,time%1:11:00::
One at a time.,time%1:11:00::
"It was the first time that I had really ever been around Barrie Callahan, so she strikes me -that memory strikes me because my mother had known her previously.",time%1:11:00::
"In fact, I may have been walking out of the room at the time and in close proximity to her.",time%1:11:00::
And so at the time when Max was speaking -- I believe that there were people who spoke in between she and Max Pell.,time%1:11:00::
She was the high school principal at the time.,time%1:11:00::
"And at the time when you wrote the original order and you used the words &quot;perceived, saw, and heard,&quot; we were concerned, as you well know, with the word &quot;perceived&quot; in terms as to what's the thought process.",time%1:11:00::
"Well, I'm aware that that statement was modified several times.",time%1:11:00::
"The exact modification, are you telling me that from the time that they had approved it in October, it was modified before it was read in January?",time%1:11:00::
"Taking quite at random a single page (page 7) in the journals of the Gregory brothers recording an early (1846) exploration of country east and north of Perth, I find the word water used fifteen times.",time%1:11:00::
"Ten pages on (page 17), water occurs nine times but there are also the related words stream (twice), well (twice), pool, channel , and the circumlocution “essential element.",time%1:11:00::
"&quot;You can have a dozen competitors stealing your secrets at the same time,&quot; Mr. Matchett said, adding : &quot;It's a pretty good bet they won't get caught.&quot;",time%1:11:00::
"&quot;This action by queer, transgender and intersex activists loudly demonstrates our collective outrage at what is occurring in hospitals around the country five times a day to non-consenting children We acted to show the lies in the twisting of &quot;Sexual Orientation&quot; and &quot;Gender Identity and/or Expression,&quot; Medicalization of Anatomy, and the insistence of society to place people in the binary sex model, wherein a man is a man and expresses masculine characteristics, while a woman is a woman and expresses feminine characteristics, and their sexual dichotomy exists for procreation.",time%1:11:00::
"We like its familiarity, and hope it is the same every time.",time%1:11:00::
A legitimate CD bought in Jakarta's business district would cost six times that.,time%1:11:00::
But the sizable reduction in Colombia's crop means that for the first time overall coca production in the Andes is dropping at a rapid pace.,time%1:11:00::
"But tonight, for the first time in way too long, Lemmy is to meet his closest comrade.",time%1:11:00::
That was more than a year ago and he'd only jerked off a few times since.,time%1:11:00::
"As he thought about it now, he thought his sexual appetite had never lasted more than about fifteen minutes at a time.",time%1:11:00::
He returned each time chastened but quickly involved in new controversies.,time%1:11:00::
"When the girls are near the tree, the ceremonial horn is again sounded, this time indicating that it is time for the boys to start the race.",time%1:11:00::
HE: I've been interpellated more times than you can count.,time%1:11:00::
I'm reminded of previous times I have felt sad and I will connect them into a series by way of the synaptic corridors they pass through.,time%1:11:00::
When I see you next time round look into my eyes,time%1:11:00::
"The legitimacy of the State is called into question for the first time in at least 30 years, and the anti-authoritarianism which characterizes the youth rebellion turns into rejection of the State, a refusal to be socialized into American society.",time%1:11:00::
"The New York Times reports that divers searching the Sea of Marmara Saturday, for the first time since the disaster, found more than 150 bodies, apparently those of Turks who lived in houses facing the water.",time%1:11:00::
"The WP reports that AOL, having reprogrammed its computers to allow much longer screen-names, has also taken the step of preventing subscribers from using as their log-ons any of the celebrity names that are now for the first time technically available.",time%1:11:00::
"Since oil prices are prospective, the markets do not anticipate a global slowdown any time soon.",time%1:11:00::
They're like Wile E. Coyote going off the cliff every time.,time%1:11:00::
"Political figures turn on each other from time to time, for good and bad reasons; we're used to it.",time%1:11:00::
Mexico's ruling party lost control of the national assembly for the first time in 68 years.,time%1:11:00::
"Because it has published three times since the initial omission, it scores an additional three points.",time%1:11:00::
"By running against Giuliani (who has been reported in Vanity Fair to have a mistress--he denies it--and, by all accounts, has a sham marriage), the first lady could exact symbolic revenge on her philandering husband while advancing the fortunes of the Democratic party at the same time!",time%1:11:00::
We had compulsory attendance at Episcopal chapel services eight times a week.,time%1:11:00::
"About the same time, they suborned an IRS agent into initiating criminal tax probes of Jordache's owners, probes that ended up going nowhere but were wonderful harassment devices.",time%1:11:00::
"In the first place, the creation of frequent-flyer programs has let the rich get richer, in the sense that customers only reap the benefits of those programs if they fly the same airline each time.",time%1:11:00::
"Our Hackathletes are Malcolm Gladwell of The New Yorker ; Hanna Rosin of the New Republic ; Michael Specter , a Moscow correspondent for the New York Times ; and Geoffrey Wheatcroft , author of The Randlords and a contributor to British publications too numerous to mention.",time%1:11:00::
"Musicals can't be on the so-called cutting edge, because they take so many years to get up on stage: By the time your grunge musical opens, grunge will be out and splurge will be in.",time%1:11:00::
"We met one last time, Strand Hotel, Bombay;",time%1:11:00::
"The dilemma on whose horns you ride is that sometimes &quot;not ready&quot; means just that, and at other times it really does mean &quot;not you.&quot;",time%1:11:00::
"Punishment of children, the article recounts, &quot;should be unpleasant, memorable, and inflicted at a time that is convenient for the parent.&quot;",time%1:11:00::
"Some examples: The number of diabetes cases rose 33 percent among blacks, three times the increase among whites.",time%1:11:00::
"The paper points out that, of course, this time there isn't nearly the amount of international support for military action.",time%1:11:00::
The paper points out that Clinton suggested yesterday that one obstacle to taking action at the time was a lack of credible information about what was actually going on.,time%1:11:00::
By late that year the unemployment rate would rise above 10 percent for the first (and so far only) time since the 1930s.,time%1:11:00::
Jacob is already filing political analysis and reportage several times a week under the rubric &quot;Ballot Box&quot; (the latest addition to our collection of Boxes).,time%1:11:00::
"In other front-page news--rather, news of the front page--the Monica story retreated inside for the first time in weeks.",time%1:11:00::
"If you are a fan of old-fashioned jazz—what is now known as “traditional” or “trad” jazz—you are familiar with one of the standard “jump tunes” of the genre—a tune most commonly called Muskrat Ramble . Even if you are not a fan, you must have heard it as least a dozen times.",time%1:11:00::
"I thought that was surely the first time I had ever seen such an obvious typographical error in, of all things, a simple title on a simple 78-rpm record.",time%1:11:00::
"This time, it was MUSCAT RAMBLE.",time%1:11:00::
"Now might be as good a time as any to reveal a theft I committed at an Air Force Base near Seymour, Indiana.",time%1:11:00::
"Taking quite at random a single page (page 7) in the journals of the Gregory brothers recording an early (1846) exploration of country east and north of Perth, I find the word water used fifteen times.",time%1:11:00::
"Ten pages on (page 17), water occurs nine times but there are also the related words stream (twice), well (twice), pool, channel , and the circumlocution “essential element.”",time%1:11:00::
"Also, if you enter jump , you get the synonyms for that; but if you enter jumped , you get the (same) synonyms but inflected—including the variants leapt, leaped for leap . All in all, for a relatively primitive system, it is not too bad; but you would have to be in love with your computer to use it in preference to a far more complete books of synonyms available (especially The Synonym Finder , Rodale in the U.S. and Canada, Longman elsewhere, which offers more than 800,000 synonyms, more than three times the number listed in any other synonym book).",time%1:11:00::
"Mr. Joseph Hymes' “Do Mistake—Learn Better” [XV,1] brought to mind the time a Japanese acquaintance told me of a friend of hers who decided to tackle the original English version of three books she had enjoyed while in Japan.",time%1:11:00::
"In part, that is attributable to the designation of his correspondents, who keep him informed on language that is not within earshot, as the “Lexicographic Irregulars,” an amusing reference the first time or two it was used but now beginning to cloy.",time%1:11:00::
"True, there is an occasional mention in his column of a point raised by a correspondent, and the Letters section of the Magazine prints a comment from time to time, but an important feature of the books is their inclusion of far more writer-reader interaction than one might suspect from reading the column alone.",time%1:11:00::
"True, there is an occasional mention in his column of a point raised by a correspondent, and the Letters section of the Magazine prints a comment from time to time, but an important feature of the books is their inclusion of far more writer-reader interaction than one might suspect from reading the column alone.",time%1:11:00::
"So, golfers, the next time you are in Ireland or Scotland, ponder why the Gaels used such combustible terms for heather and eschewed the features like bells and crosses that impressed themselves on Anglo-Saxons.",time%1:11:00::
"For some, “occasionally” means several times a year; for a few, it means several times a week.",time%1:11:00::
"But, let's get one thing straight; Hitler knew how to read, and my grandmother didn't, and I'll take my grandmother any time.",time%1:11:00::
"Indy Reads is working to change these statistics, one life at a time.",time%1:11:00::
"THE GIRL SCOUT PROMISE On my honor, I will try To serve god and my country, To help people at all times, And to live by the Girl Scout Law.",time%1:11:00::
One out of every four people in the United States will be diagnosed with having cancer at one point and time in their life.,time%1:11:00::
"I know that from my desk at The Salvation Army, I have a unique perspective, and I want you to know without a doubt that we are meeting needs -- one person at a time, every day ...",time%1:11:00::
.. emergency assistance during times of crisis.,time%1:11:00::
"Every time we help someone find a solution to their employment barrier, the positive effects radiate throughout our community: The business community welcomes not only another worker, but a consumer with increased purchasing power.",time%1:11:00::
But there's no reason why we shouldn't share good news at the same time.,time%1:11:00::
"If you have any questions or concerns at any time, please do not hesitate to call me at 921-1288.",time%1:11:00::
"The results of an 18-month study completed by Public/Private Ventures showed that children participating in one-to-one Big Sister and Big Brother matches for just one year, reduced first time drug use by 46%; lowered school absenteeism by 52%; cut aggressive behavior by 33%; enhanced school performance; and improved relations with family and friends.",time%1:11:00::
"The staff member has mentioned several times to Becky that she should take the art home, but Becky doesn't want to; she wants the staff person to have it.",time%1:11:00::
"At the same time, you will be helping to preserve those wonders through your support of America's most effective conservation group.",time%1:11:00::
..four times.,time%1:11:00::
And our population is growing for the first time in decades.,time%1:11:00::
Members receive invitations to special events at various times throughout the year.,time%1:11:00::
"If such a contribution is not feasible at this time, we would of course welcome a renewal of last year's commitment.",time%1:11:00::
For the past fifteen years SEND has been working to transform the Southeast Side one project at a time.,time%1:11:00::
Her anxiety level rose every time the telephone rang.,time%1:11:00::
"That will only be the first step toward healing the pain of having been abandoned several times, neglected, and denied the happy childhood that should be every child's birthright.",time%1:11:00::
"As a friend of the Center, you are welcome to contact us at any time if we can assist you with your international needs.",time%1:11:00::
It's one of the few times you won't find the two together.,time%1:11:00::
"In addition to expanded physical facilities since the completion of Science, Engineering and Technology Building Phase Two, several of the programs in the school have expanded in terms of student and faculty size; the research and development contracts with federal and state agencies and private industry exceeded one million dollars in value for the first time last year; interaction of faculty and students with the other schools on campus increased drastically in terms of joint research projects on medical imaging, computational neuroscience and biomechanics and the partnership with Naval Avionics Warfare Center and Naval Weapons Center flourished with the moving of Electronic Manufacturing Productivity Facility from California to a new facility within one mile of the main campus.",time%1:11:00::
At one time or another we have all met classmates in the lounges in the ET Building or the Administration Building at the 38th Street campus.,time%1:11:00::
This is absolutely the last time that I will ask you to please donate a million dollars to the IUPUI Geology Alumni Fund.,time%1:11:00::
The old kiln shed has been replaced and our newly occupied and totally renovated photography building on Michigan Street has been in use for the first time.,time%1:11:00::
It's birthday time!,time%1:11:00::
"You may not have realized it at the time, but you and your fellow students were part of something very big in Indianapolis.",time%1:11:00::
"For the first time, however, the department has received a $1000 gift to begin a scholarship fund to benefit geography students only.",time%1:11:00::
Many of you responded in a positive manner by increasing your contribution or contributing to the fund for the first time.,time%1:11:00::
"I guess I encourage this method because I've always made my contributions this way, it's a &quot;painless&quot; method and at tax time I enjoy the deduction.",time%1:11:00::
"And if a person decides to be a contributor, the best time to begin is the month prior to salary increases.",time%1:11:00::
"If a major contribution is not possible at this time, a five year pledge is acceptable.",time%1:11:00::
I'm sure that stepping into private practice for the first time will be intimidating enough; but doing so without the best training possible would be twice as stressful.,time%1:11:00::
"The Endowment Fund is a way we can show our appreciation and support; and at the same time, make sure future colleagues receive the same benefits.",time%1:11:00::
"Your renewed gift to the School will enable us to sustain our reputation of excellence, to prepare our students for successful, satisfying careers, and at the same time, to enhance the value to you of your Indiana University degree.",time%1:11:00::
