context,sense
"Smolin puts approximate maximum and minimum bounds on these twenty constants and asks a straightforward question: In a twenty-dimensional parameter space ranging over the plausible values of these twenty constants, what volume of that parameter space is consistent with values of the constants that would yield a complex universe with stars, chemistry, and potentially, life?",life%1:19:00::
"That is, a tiny fraction of the possible combinations of the values of the constants are consistent with the existence of chemistry and stars, as well as life.",life%1:19:00::
"KauVman, don’t you have a theory that in complex chemical reaction systems life arises more or less spontaneously?”",life%1:19:00::
"Life, at its core, depends upon autocatalysis, that is, reproduction",life%1:26:00::
"You begin life with an endowment of a thousand pears and a hundred apples""",life%1:26:00::
"If life is common, the elaboration of biospheres in the universe is rife",life%1:26:00::
"In eVect, natural selection recognizes the life context in which the collective behaviors of these higher-order molecular structures are advantageous",life%1:26:00::
"But life has burgeoned beyond single-celled creatures""",life%1:19:00::
"Life history theory and experiments have repeatedly demonstrated trade-offs between current survival and future reproduction in both animals and plants [ 16 17 ] . According to this theory there is an overall energy budget for an organism, with a finite amount available to divide between these two evolutionarily important processes.",life%1:19:00::
"The coherence among the three domains of life (Bacteria, Archaea, Eucarya [ 20 ] ), is clearly reflected in genome content; i.e., Archaea share more genes with other Archaea than with Bacteria, but many features are incompatible with representing the relationships between different genomes as a tree.",life%1:19:00::
"After 1 hr incubation at RT with 50 μl/well of biotinilated secondary antibodies, plates were developed with Eu-labelled Streptavidin (PerkinElmer Life Sciences, Boston, MA) followed by Enhancement solution (PerkinElmer Life Sciences) and read in a 1234 Delfia Fluorometer (PerkinElmer Life Sciences).",life%1:19:00::
"Transfection with dsRNAs was carried out with OligofectAMINE Reagent (Life Technologies) in OPTIMEM I (Life Technologies) as described by the manufacturer for adherent cell lines""",life%1:19:00::
"Since living entities require a continual source of usable energy, we should be able to detect a chemical signature of life in the form of mixtures of redox molecules such as porphyrins, quinones, and flavins that transport electrons along redox gradients between electron donors and acceptors [ 13 ] . We examined methods to extract and detect the components of electron transport chains that might be used to indicate the presence of life on site in extraterrestrial locations.",life%1:19:00::
", porphyrins or quinones), the use of respiratory dyes for detection of active electron transport in the biological redox range could provide very convincing evidence for life in extraterrestrial locations.",life%1:19:00::
"This approach would obviously only detect presently living entities, but these could include dormant life forms such as spores that might germinate and grow using added nutrients.",life%1:19:00::
"This might compromise later experiments aimed at detecting life on the Red Planet, and/or influence its future ecology over geologic time scales.",life%1:19:00::
"Physicians rated hepatitis C health states using a visual analog scale where 0% represented death and 100% corresponded to life without hepatitis C. We designated life without hepatitis C as the highest preference value and assessed preferences for the health state hepatitis C with No Symptoms, No cirrhosis because the psychological impact of having a disease can effect health status in the absence of physical symptoms",life%1:26:00::
"The life cycle needs to be investigated""",life%1:26:00::
"The α subunit further stabilizes this cleft, whereas the ω subunit interacts with the β' subunit [ 7 ] . Given their ubiquitous presence in all cellular life forms and high level of sequence conservation, it seems evident that the core subunits of this complex RNA synthesis machine were already present in the last universal common ancestor (LUCA) of the extant cellular life forms and performed functions mechanistically similar to those of modern DDRP.",life%1:19:00::
"Many of the approaches will apply much earlier in the course of the illness, not just at the end of life",life%1:26:00::
"Non-biotin-based-tyramide reagents, including fluorescent reagents are available from PerkinElmer Life Sciences and from DAKO",life%1:26:00::
"where S is expected survival time, and 2 m 0 is the mortality rate in the first two years of life [ 39 ] . 2 m 0 can, in turn, be calculated from the probability of dying in the first two years of life, [ 39 ] ",life%1:26:00::
"Medical equipment reconfigured and miniaturized into a stretcher-based portable intensive care unit (called the Life Support for Trauma and Transport [LSTAT TM]) was evaluated using a patient simulator and during patient care in a recovery room setting""",life%1:26:00::
"Once a patient with compromised respiratory or vital functions is placed on life support hardware, sophisticated monitoring devices such as continuous pulse oximetry, continuous mixed venous oximetry, and capnography effectively monitor hemodynamic and ventilatory parameters",life%1:26:00::
"Escalating doses of sedatives followed by oppressive hemodynamic and ventilatory side-effects sometimes provide an indication for therapeutic musculoskeletal paralysis to rapidly get control of life threatening agitation syndromes""",life%1:26:00::
"In all three domains of life, it appears that every codon and every amino acid follows a single trend determined by the overall compositional properties of genomes.",life%1:19:00::
"Oligonucleotides were synthesized at a 50 nmol scale by Invitrogen/Life Technologies (Carlsbad, CA) or Operon Technologies (Alameda, CA), and resuspended in sterile milliQ water to a final concentration of 100 μM.",life%1:19:00::
"They could be functional at different spatial locations and at different temporal points in the life cycle, thereby contributing to the diversity in the morphology of the bacterial cell and colonies",life%1:26:00::
"Until recent years, molecular characterization of Meloidogyne genes has been limited [ 12 13 ] , particularly because the species' obligate parasitic life cycle makes studies difficult",life%1:26:00::
"Safe Concentration - The highest concentration of toxicant that will permit normal propagation of fish and other aquatic life in receiving waters""",life%1:19:00::
"Since age may affect the results of the tests, it would enhance the value and comparability of the data if the same species in the same life stages were used throughout a monitoring program at a given facility",life%1:26:00::
"While there is no empirical evidence to support or reject hypotheses regarding wealth and observed WTP, WTP for additional life years by the elderly may in part reflect their wealth position vis a vis middle age respondents",life%1:26:00::
"Identify the system life used as a basis for evaluating alternatives and determine whether it appears realistic in light of user needs, expected changes in the technology, expected availability of maintenance and other support, and the time needed to prepare subsequent acquisitions.",life%1:19:00::
"By defining a new family of putative metalloproteases that includes a proteasomal subunit, a CSN subunit, and additional proteins from all domains of life, the MPN + /JAMM motif garnered great attention.",life%1:19:00::
"Obligate chimerism—the presence of two genetically distinct cell lineages in every individual at each life stage—is found in a few families of scale insects, but nowhere else in nature",life%1:26:00::
"That's why we will be so interested in any life found on another planet and why, in the meantime, we should take a close look at scale insects.",life%1:19:00::
"Our perception of our impact on the planet as equivalent to a mass extinction simply reflects the evolutionary prism through which we view life""",life%1:26:00::
"It is based on the patterns of the molecules of life""",life%1:26:00::
"Different life forms are likely to have different patterns, and at the very least we might find the mirror symmetry of life on Earth, with d - instead of l -amino acids",life%1:26:00::
"But with only one example of life—life on Earth—it is not all that surprising that we do not have a fundamental understanding of what life is""",life%1:19:00::
"From these biological remains, it would then be possible to determine the biochemical composition of, and the phylogenetic relationship between, Earth life and Martian life.",life%1:19:00::
"But life is like fire, not water—it is a process, not a pure substance",life%1:26:00::
"2000); therefore, energy is not the limitation for life.",life%1:19:00::
"It makes sense, then, that the search for liquid water is currently the first step in the search for life on other worlds.",life%1:19:00::
"The Viking missions to Mars in the late 1970s were the first (and as yet, the only) search for life outside Earth.",life%1:19:00::
"Life on Mars is also likely to be the same at the top of the table: at the ecological level""",life%1:19:00::
"Francis still felt that life was no less astonishing just because it was biological and natural in origin""",life%1:26:00::
"All the business of life needs energy""",life%1:26:00::
"Our initial goal was to create a flagship journal for the broader PLoS mission by providing an open-access alternative to the best subscription journals in the life sciences, and to put open access firmly on the map.",life%1:19:00::
"In unimmunized populations, the incidence of invasive disease follows a well-known age distribution, peaking in the first 2 y of life, declining by more than an order of magnitude by the second and third decades of life, and then rising at an accelerating pace, with incidence in persons over 70 y approaching that in infants [5]",life%1:26:00::
"Of note, studies of adult twins, and especially monozygotic twins, can usefully address problems of capturing early life circumstances and assessing the contribution of childhood and adult conditions on adult health",life%1:26:00::
"Rulers began to grow more powerful and looked for some way to prove their might both in life and in death""",life%1:26:00::
"The famous sardine fisheries finally closed down in the 1940s as a result of over-fishing, but the waterfront district of timbered canneries, immortalized by the novelist John Steinbeck as “a poem, a stink, a grating noise, a quality of light, a tone, a habit, a nostalgia,” has found a new lease on life today as a tourist attraction with souvenir shops, delightful cozy boutiques, and artists’ studios",life%1:26:00::
"In summertime the garrison comes to life with the Changing of the Guard (10am daily, June 24–first week of Sept.) and Beating the Retreat (6pm Wed–Sat during July and August)",life%1:26:00::
"Come back to life on the old streets behind the Panthéon, where the bustling rue Mouffetard and its offshoots are a village within the city",life%1:26:00::
